INSERT INTO products (id, product_name, category_id, supplier_id, price, amount_sold) VALUES
(72, 'H&M Basic Tee', 8, 2, 3000.00, 1000),
(73, 'Uniqlo Oxford Shirt', 8, 3, 12000.00, 450),
(74, 'Tommy Hilfiger Polo', 8, 4, 20000.00, 400),
(75, 'Polo Ralph Lauren Tee', 8, 5, 25000.00, 350),
(76, 'Banana Republic Linen Shirt', 8, 6, 18000.00, 200),
(77, 'Gap Henley Shirt', 8, 7, 10000.00, 320),
(78, 'J.Crew Flannel', 8, 8, 17000.00, 250),
(79, 'American Eagle T-Shirt', 8, 9, 7000.00, 500),
(80, 'Old Navy Button-Up', 8, 10, 8000.00, 520),
(81, 'Brooks Brothers Dress Shirt', 9, 1, 24000.00, 180),
(82, 'Calvin Klein Slim Fit', 9, 2, 28000.00, 120),
(83, 'Van Heusen Oxford', 9, 3, 15000.00, 300),
(84, 'Kenneth Cole Reaction Shirt', 9, 4, 20000.00, 270),
(85, 'Tommy Hilfiger Dress Shirt', 9, 5, 25000.00, 350),
(86, 'Charles Tyrwhitt Oxford', 9, 6, 23000.00, 320),
(87, 'Hugo Boss Dress Shirt', 9, 7, 40000.00, 100),
(88, 'Dockers Button-Down', 9, 8, 12000.00, 200),
(89, 'IZOD Dress Shirt', 9, 9, 18000.00, 150),
(90, 'Perry Ellis Slim Fit', 9, 10, 21000.00, 80),
(91, 'Levi\'s 501', 10, 1, 22000.00, 500),
(92, 'Wrangler Regular Fit', 10, 2, 18000.00, 420),
(93, 'Lee Relaxed Fit', 10, 3, 20000.00, 380),
(94, 'Calvin Klein Slim Fit', 10, 4, 27000.00, 250),
(95, 'Diesel Skinny Jeans', 10, 5, 30000.00, 300),
(96, 'GAP Straight Jeans', 10, 6, 15000.00, 400),
(97, 'True Religion Bootcut', 10, 7, 35000.00, 220),
(98, 'American Eagle Skinny', 10, 8, 12000.00, 500),
(99, 'Uniqlo Slim Fit', 10, 9, 17000.00, 450),
(100, 'H&M Straight Cut', 10, 10, 10000.00, 490),
(101, 'Dockers Classic Fit', 11, 1, 12000.00, 250),
(102, 'Calvin Klein Slim Fit Pants', 11, 2, 15000.00, 220),
(103, 'Perry Ellis Dress Pants', 11, 3, 13000.00, 190),
(104, 'Haggar Work-to-Weekend', 11, 4, 14000.00, 180),
(105, 'Van Heusen Slim Pants', 11, 5, 11000.00, 160),
(106, 'J.Crew Ludlow', 11, 6, 30000.00, 100),
(107, 'Banana Republic Logan', 11, 7, 24000.00, 90),
(108, 'Kenneth Cole Reaction Pants', 11, 8, 20000.00, 120),
(109, 'IZOD Slim Fit', 11, 9, 15000.00, 130),
(110, 'Bonobos Dress Pants', 11, 10, 18000.00, 140),
(111, 'Louis Vuitton Wallet', 12, 1, 45000.00, 80),
(112, 'Gucci Leather Wallet', 12, 2, 43000.00, 60),
(113, 'Tommy Hilfiger Bifold', 12, 3, 25000.00, 120),
(114, 'Levi’s Trifold Wallet', 12, 4, 15000.00, 300),
(115, 'Coach Slim ID Wallet', 12, 5, 28000.00, 200),
(116, 'Timberland Leather Wallet', 12, 6, 18000.00, 220),
(117, 'Herschel Bifold Wallet', 12, 7, 12000.00, 300),
(118, 'Fossil RFID Wallet', 12, 8, 20000.00, 210),
(119, 'Perry Ellis Portfolio Wallet', 12, 9, 17000.00, 250),
(120, 'Calvin Klein Passcase', 12, 10, 19000.00, 100),
(121, 'Michael Kors Tote Bag', 13, 1, 35000.00, 50),
(122, 'Kate Spade Handbag', 13, 2, 40000.00, 60),
(123, 'Guess Shoulder Bag', 13, 3, 18000.00, 200),
(124, 'Fossil Crossbody Bag', 13, 4, 22000.00, 150),
(125, 'Coach City Tote', 13, 5, 48000.00, 80),
(126, 'Aldo Satchel Bag', 13, 6, 15000.00, 170),
(127, 'Longchamp Le Pliage', 13, 7, 23000.00, 110),
(128, 'Steve Madden Quilted Bag', 13, 8, 12000.00, 140),
(129, 'Nine West Shoulder Bag', 13, 9, 18000.00, 160),
(130, 'Anne Klein Crossbody', 13, 10, 15000.00, 190),
(131, 'LG Top Load Washer', 14, 1, 49000.00, 40),
(132, 'Samsung Front Load Washer', 14, 2, 45000.00, 45),
(133, 'Whirlpool Washing Machine', 14, 3, 44000.00, 30),
(134, 'Bosch Compact Washer', 14, 4, 42000.00, 20),
(135, 'Hisense Washing Machine', 14, 5, 35000.00, 60),
(136, 'Panasonic Semi-Auto Washer', 14, 6, 30000.00, 70),
(137, 'Haier Thermocool Washer', 14, 7, 32000.00, 90),
(138, 'Midea Twin Tub Washer', 14, 8, 28000.00, 80),
(139, 'Toshiba Top Load Washer', 14, 9, 37000.00, 50),
(140, 'Kenwood Washing Machine', 14, 10, 33000.00, 100),
(141, 'HP Envy Notebook', 15, 1, 48000.00, 30),
(142, 'Dell Inspiron Notebook', 15, 2, 47000.00, 40),
(143, 'Lenovo IdeaPad', 15, 3, 45000.00, 50),
(144, 'Asus VivoBook', 15, 4, 43000.00, 55),
(145, 'Acer Aspire', 15, 5, 40000.00, 60),
(146, 'Toshiba Satellite', 15, 6, 35000.00, 70),
(147, 'Samsung Galaxy Book', 15, 7, 49000.00, 35),
(148, 'Microsoft Surface Laptop', 15, 8, 45000.00, 25),
(149, 'Huawei MateBook', 15, 9, 43000.00, 20),
(150, 'Apple MacBook Air (used)', 15, 10, 48000.00, 18),
(151, 'Canon Pixma Printer', 16, 1, 28000.00, 150),
(152, 'HP DeskJet Printer', 16, 2, 25000.00, 200),
(153, 'Brother HL-L2370DW', 16, 3, 30000.00, 130),
(154, 'Epson EcoTank Printer', 16, 4, 32000.00, 100),
(155, 'Samsung Xpress M2020', 16, 5, 27000.00, 140),
(156, 'Xerox Phaser 6022', 16, 6, 35000.00, 90),
(157, 'Ricoh SP 210', 16, 7, 21000.00, 180),
(158, 'Pantum P2502W', 16, 8, 20000.00, 160),
(159, 'OKI B412dn', 16, 9, 29000.00, 120),
(160, 'Kyocera ECOSYS', 16, 10, 34000.00, 110),
(161, 'Nike Air Max', 17, 1, 25000.00, 400),
(162, 'Adidas Ultraboost', 17, 2, 30000.00, 350),
(163, 'New Balance Fresh Foam', 17, 3, 22000.00, 200),
(164, 'ASICS Gel-Nimbus', 17, 4, 27000.00, 180),
(165, 'Puma Ignite', 17, 5, 21000.00, 220),
(166, 'Reebok Zig Kinetica', 17, 6, 23000.00, 240),
(167, 'Under Armour HOVR', 17, 7, 28000.00, 170),
(168, 'Skechers Go Run', 17, 8, 19000.00, 300),
(169, 'Brooks Adrenaline GTS', 17, 9, 26000.00, 150),
(170, 'Fila Memory Workshift', 17, 10, 18000.00, 220),
(171, 'Milo Cocoa Drink', 18, 1, 1000.00, 1200),
(172, 'Ovaltine Malted Drink', 18, 2, 800.00, 900),
(173, 'Cadbury Bournvita', 18, 3, 950.00, 1000),
(174, 'Nestle Hot Cocoa', 18, 4, 1200.00, 850),
(175, 'Horlicks Classic', 18, 5, 1100.00, 700),
(176, 'Choco Milo', 18, 6, 850.00, 600),
(177, 'Dano Chocolate Drink', 18, 7, 700.00, 800),
(178, 'Peak Cocoa Mix', 18, 8, 1050.00, 500),
(179, 'Golden Morn Cocoa', 18, 9, 1150.00, 550),
(180, 'Richoco Hot Cocoa', 18, 10, 950.00, 750),
(181, 'Coca-Cola', 19, 1, 150.00, 5000),
(182, 'Pepsi', 19, 2, 140.00, 4800),
(183, 'Sprite', 19, 3, 160.00, 4700),
(184, 'Fanta', 19, 4, 150.00, 4600),
(185, '7UP', 19, 5, 140.00, 4500),
(186, 'Mountain Dew', 19, 6, 160.00, 4400),
(187, 'Mirinda', 19, 7, 130.00, 4300),
(188, 'Schweppes', 19, 8, 150.00, 4200),
(189, 'Bitter Lemon', 19, 9, 170.00, 4000),
(190, 'La Casera', 19, 10, 180.00, 3900),
(191, 'BIC Ballpoint Pen', 20, 1, 100.00, 3000),
(192, 'Pilot G2 Gel Pen', 20, 2, 200.00, 2800),
(193, 'Paper Mate InkJoy', 20, 3, 150.00, 2700),
(194, 'Zebra Pen', 20, 4, 180.00, 2500),
(195, 'Sharpie Pen', 20, 5, 220.00, 2400),
(196, 'Uni-ball Vision Elite', 20, 6, 230.00, 2100),
(197, 'Pentel EnerGel', 20, 7, 200.00, 2300),
(198, 'Cross Classic', 20, 8, 500.00, 1500),
(199, 'LAMY Safari Pen', 20, 9, 400.00, 1300),
(200, 'Parker Jotter', 20, 10, 350.00, 1400);
