INSERT INTO product_incomes (id, product_id, period_type, total_units_sold, product_specific_income, record_date) VALUES
(63, 1, 'daily', 23, 109.12, '2024-03-02'),
(64, 1, 'daily', 45, 435.14, '2024-03-03'),
(65, 1, 'daily', 40, 286.74, '2024-03-04'),
(66, 1, 'daily', 22, 165.36, '2024-03-05'),
(67, 1, 'daily', 34, 79.57, '2024-03-06'),
(68, 1, 'daily', 46, 448.52, '2024-03-07'),
(69, 1, 'daily', 25, 115.04, '2024-03-08'),
(70, 1, 'daily', 22, 103.94, '2024-03-09'),
(71, 1, 'daily', 26, 251.02, '2024-03-10'),
(72, 1, 'daily', 32, 42.09, '2024-03-11'),
(73, 1, 'daily', 16, 85.75, '2024-03-12'),
(74, 1, 'daily', 18, 33.21, '2024-03-13'),
(75, 1, 'daily', 33, 315.03, '2024-03-14'),
(76, 1, 'daily', 16, 146.88, '2024-03-15'),
(77, 1, 'daily', 37, 100.21, '2024-03-16'),
(78, 1, 'daily', 25, 51.76, '2024-03-17'),
(79, 1, 'daily', 19, 64.31, '2024-03-18'),
(80, 1, 'daily', 29, 258.25, '2024-03-19'),
(81, 1, 'daily', 20, 25.59, '2024-03-20'),
(82, 1, 'daily', 44, 162.83, '2024-03-21'),
(83, 1, 'daily', 16, 96.14, '2024-09-01'),
(84, 1, 'daily', 39, 365.44, '2024-09-02'),
(85, 1, 'daily', 38, 276.73, '2024-09-03'),
(86, 1, 'daily', 19, 63.03, '2024-09-04'),
(87, 1, 'daily', 11, 72.71, '2024-09-05'),
(88, 1, 'daily', 22, 153.9, '2024-09-06'),
(89, 1, 'daily', 49, 266.94, '2024-09-07'),
(90, 1, 'daily', 31, 40.26, '2024-09-08'),
(91, 1, 'daily', 12, 82.04, '2024-09-09'),
(92, 1, 'daily', 19, 25.48, '2024-09-10'),
(93, 1, 'daily', 32, 269.04, '2024-09-11'),
(94, 1, 'daily', 48, 244.68, '2024-09-12'),
(95, 1, 'daily', 36, 199.67, '2024-09-13'),
(96, 1, 'daily', 23, 197.2, '2024-09-14'),
(97, 1, 'daily', 30, 194.53, '2024-09-15'),
(98, 1, 'daily', 34, 268.23, '2024-09-16'),
(99, 1, 'daily', 43, 413.3, '2024-09-17'),
(100, 1, 'daily', 31, 69.91, '2024-09-18'),
(101, 1, 'daily', 43, 360.93, '2024-09-19'),
(102, 1, 'daily', 41, 65.04, '2024-09-20'),
(103, 1, 'daily', 22, 99.6, '2024-09-21'),
(104, 1, 'daily', 25, 48.68, '2023-03-01'),
(105, 1, 'daily', 42, 357.84, '2023-03-02'),
(106, 1, 'daily', 32, 189.96, '2023-03-03'),
(107, 1, 'daily', 12, 81.55, '2023-03-04'),
(108, 1, 'daily', 41, 92.57, '2023-03-05'),
(109, 1, 'daily', 15, 88.22, '2023-03-06'),
(110, 1, 'daily', 42, 96.84, '2023-03-07'),
(111, 1, 'daily', 42, 263.11, '2023-03-08'),
(112, 1, 'daily', 19, 87.9, '2023-03-09'),
(113, 1, 'daily', 30, 200.7, '2023-03-10'),
(114, 1, 'daily', 43, 205.3, '2023-03-11'),
(115, 1, 'daily', 21, 44.61, '2023-03-12'),
(116, 1, 'daily', 49, 432.7, '2023-03-13'),
(117, 1, 'daily', 28, 181.72, '2023-03-14'),
(118, 1, 'daily', 43, 185.57, '2023-03-15'),
(119, 1, 'daily', 44, 137.81, '2023-03-16'),
(120, 1, 'daily', 12, 84.61, '2023-03-17'),
(121, 1, 'daily', 38, 306.74, '2023-03-18'),
(122, 1, 'daily', 21, 107.24, '2023-03-19'),
(123, 1, 'daily', 28, 262.78, '2023-03-20'),
(124, 1, 'daily', 25, 179.74, '2023-03-21'),
(125, 1, 'daily', 40, 327.9, '2023-09-01'),
(126, 1, 'daily', 42, 165.05, '2023-09-02'),
(127, 1, 'daily', 45, 267.9, '2023-09-03'),
(128, 1, 'daily', 21, 33.65, '2023-09-04'),
(129, 1, 'daily', 13, 94.87, '2023-09-05'),
(130, 1, 'daily', 32, 232.16, '2023-09-06'),
(131, 1, 'daily', 41, 144.39, '2023-09-07'),
(132, 1, 'daily', 13, 48.64, '2023-09-08'),
(133, 1, 'daily', 15, 146.26, '2023-09-09'),
(134, 1, 'daily', 43, 362.61, '2023-09-10'),
(135, 1, 'daily', 13, 64.2, '2023-09-11'),
(136, 1, 'daily', 27, 175.98, '2023-09-12'),
(137, 1, 'daily', 20, 56.26, '2023-09-13'),
(138, 1, 'daily', 31, 31.27, '2023-09-14'),
(139, 1, 'daily', 10, 87.67, '2023-09-15'),
(140, 1, 'daily', 50, 419.93, '2023-09-16'),
(141, 1, 'daily', 48, 367.58, '2023-09-17'),
(142, 1, 'daily', 41, 118.4, '2023-09-18'),
(143, 1, 'daily', 43, 378.58, '2023-09-19'),
(144, 1, 'daily', 44, 382.86, '2023-09-20'),
(145, 1, 'daily', 31, 144.98, '2023-09-21'),
(146, 1, 'daily', 40, 292.95, '2022-03-01'),
(147, 1, 'daily', 23, 182.85, '2022-03-02'),
(148, 1, 'daily', 50, 71.38, '2022-03-03'),
(149, 1, 'daily', 33, 145.41, '2022-03-04'),
(150, 1, 'daily', 44, 262.58, '2022-03-05'),
(151, 1, 'daily', 34, 239.65, '2022-03-06'),
(152, 1, 'daily', 23, 48.05, '2022-03-07'),
(153, 1, 'daily', 16, 18.72, '2022-03-08'),
(154, 1, 'daily', 29, 214.57, '2022-03-09'),
(155, 1, 'daily', 22, 149.36, '2022-03-10'),
(156, 1, 'daily', 48, 101.08, '2022-03-11'),
(157, 1, 'daily', 38, 291.08, '2022-03-12'),
(158, 1, 'daily', 22, 78.11, '2022-03-13'),
(159, 1, 'daily', 40, 187.99, '2022-03-14'),
(160, 1, 'daily', 46, 165.55, '2022-03-15'),
(161, 1, 'daily', 13, 43.27, '2022-03-16'),
(162, 1, 'daily', 48, 63.55, '2022-03-17'),
(163, 1, 'daily', 14, 56.5, '2022-03-18'),
(164, 1, 'daily', 38, 285.86, '2022-03-19'),
(165, 1, 'daily', 45, 224.09, '2022-03-20'),
(166, 1, 'daily', 19, 53.04, '2022-03-21'),
(167, 1, 'daily', 16, 151.75, '2022-09-01'),
(168, 1, 'daily', 43, 103.81, '2022-09-02'),
(169, 1, 'daily', 38, 261.15, '2022-09-03'),
(170, 1, 'daily', 35, 189.06, '2022-09-04'),
(171, 1, 'daily', 37, 227.03, '2022-09-05'),
(172, 1, 'daily', 15, 68.3, '2022-09-06'),
(173, 1, 'daily', 10, 45.12, '2022-09-07'),
(174, 1, 'daily', 20, 96.21, '2022-09-08'),
(175, 1, 'daily', 36, 358.39, '2022-09-09'),
(176, 1, 'daily', 31, 164.6, '2022-09-10'),
(177, 1, 'daily', 38, 245.12, '2022-09-11'),
(178, 1, 'daily', 18, 124.85, '2022-09-12'),
(179, 1, 'daily', 21, 178.0, '2022-09-13'),
(180, 1, 'daily', 14, 121.54, '2022-09-14'),
(181, 1, 'daily', 49, 384.47, '2022-09-15'),
(182, 1, 'daily', 44, 324.81, '2022-09-16'),
(183, 1, 'daily', 33, 268.37, '2022-09-17'),
(184, 1, 'daily', 35, 260.3, '2022-09-18'),
(185, 1, 'daily', 46, 455.05, '2022-09-19'),
(186, 1, 'daily', 36, 121.62, '2022-09-20'),
(187, 1, 'daily', 29, 178.53, '2022-09-21'),
(188, 2, 'yearly', 6061, 300904.33, '2024-12-31'),
(189, 2, 'yearly', 8536, 338998.69, '2023-12-31'),
(190, 2, 'yearly', 5660, 298641.21, '2022-12-31'),
(191, 2, 'yearly', 6378, 334450.6, '2021-12-31'),
(192, 2, 'yearly', 6573, 556574.69, '2020-12-31'),
(193, 2, 'yearly', 5341, 461513.92, '2019-12-31'),
(194, 2, 'yearly', 6635, 237426.44, '2018-12-31'),
(195, 2, 'monthly', 486, 16867.0, '2024-01-01'),
(196, 2, 'monthly', 509, 35086.55, '2024-02-01'),
(197, 2, 'monthly', 671, 30323.33, '2024-03-01'),
(198, 2, 'monthly', 556, 21142.43, '2024-04-01'),
(199, 2, 'monthly', 627, 49368.29, '2024-05-01'),
(200, 2, 'monthly', 475, 18074.51, '2024-06-01'),
(201, 2, 'monthly', 741, 30155.78, '2024-07-01'),
(202, 2, 'monthly', 707, 46311.95, '2024-08-01'),
(203, 2, 'monthly', 749, 45802.11, '2024-09-01'),
(204, 2, 'monthly', 737, 46732.78, '2024-10-01'),
(205, 2, 'monthly', 706, 53631.42, '2024-11-01'),
(206, 2, 'monthly', 497, 32945.6, '2024-12-01'),
(207, 2, 'monthly', 509, 30493.34, '2023-01-01'),
(208, 2, 'monthly', 554, 24191.6, '2023-02-01'),
(209, 2, 'monthly', 556, 30020.11, '2023-03-01'),
(210, 2, 'monthly', 523, 24595.57, '2023-04-01'),
(211, 2, 'monthly', 464, 30300.55, '2023-05-01'),
(212, 2, 'monthly', 726, 41242.63, '2023-06-01'),
(213, 2, 'monthly', 701, 53154.77, '2023-07-01'),
(214, 2, 'monthly', 519, 25739.48, '2023-08-01'),
(215, 2, 'monthly', 585, 46762.63, '2023-09-01'),
(216, 2, 'monthly', 520, 18707.95, '2023-10-01'),
(217, 2, 'monthly', 685, 51288.05, '2023-11-01'),
(218, 2, 'monthly', 552, 42746.33, '2023-12-01'),
(219, 2, 'monthly', 535, 13549.95, '2022-01-01'),
(220, 2, 'monthly', 441, 18174.98, '2022-02-01'),
(221, 2, 'monthly', 453, 25496.18, '2022-03-01'),
(222, 2, 'monthly', 571, 17835.75, '2022-04-01'),
(223, 2, 'monthly', 549, 19215.63, '2022-05-01'),
(224, 2, 'monthly', 431, 12990.28, '2022-06-01'),
(225, 2, 'monthly', 667, 21492.17, '2022-07-01'),
(226, 2, 'monthly', 747, 37099.29, '2022-08-01'),
(227, 2, 'monthly', 790, 25062.55, '2022-09-01'),
(228, 2, 'monthly', 771, 45243.69, '2022-10-01'),
(229, 2, 'monthly', 618, 17105.11, '2022-11-01'),
(230, 2, 'monthly', 712, 40116.37, '2022-12-01'),
(231, 2, 'weekly', 163, 3507.84, '2024-03-01'),
(232, 2, 'weekly', 281, 5405.68, '2024-03-08'),
(233, 2, 'weekly', 200, 9029.71, '2024-03-15'),
(234, 2, 'weekly', 101, 4430.06, '2024-09-01'),
(235, 2, 'weekly', 281, 4088.22, '2024-09-08'),
(236, 2, 'weekly', 171, 1439.19, '2024-09-15'),
(237, 2, 'weekly', 183, 1452.82, '2023-03-01'),
(238, 2, 'weekly', 276, 8765.71, '2023-03-08'),
(239, 2, 'weekly', 243, 7477.73, '2023-03-15'),
(240, 2, 'weekly', 206, 4391.98, '2023-09-01'),
(241, 2, 'weekly', 178, 3668.49, '2023-09-08'),
(242, 2, 'weekly', 120, 1870.05, '2023-09-15'),
(243, 2, 'weekly', 179, 3113.2, '2022-03-01'),
(244, 2, 'weekly', 104, 2490.27, '2022-03-08'),
(245, 2, 'weekly', 181, 7218.95, '2022-03-15'),
(246, 2, 'weekly', 215, 8922.91, '2022-09-01'),
(247, 2, 'weekly', 243, 5634.3, '2022-09-08'),
(248, 2, 'weekly', 147, 6111.97, '2022-09-15'),
(249, 2, 'daily', 23, 62.18, '2024-03-01'),
(250, 2, 'daily', 17, 59.83, '2024-03-02'),
(251, 2, 'daily', 26, 60.35, '2024-03-03'),
(252, 2, 'daily', 23, 202.33, '2024-03-04'),
(253, 2, 'daily', 46, 370.69, '2024-03-05'),
(254, 2, 'daily', 29, 139.89, '2024-03-06'),
(255, 2, 'daily', 18, 105.94, '2024-03-07'),
(256, 2, 'daily', 43, 58.52, '2024-03-08'),
(257, 2, 'daily', 28, 180.21, '2024-03-09'),
(258, 2, 'daily', 46, 63.86, '2024-03-10'),
(259, 2, 'daily', 14, 15.06, '2024-03-11'),
(260, 2, 'daily', 39, 86.85, '2024-03-12'),
(261, 2, 'daily', 13, 48.25, '2024-03-13'),
(262, 2, 'daily', 14, 35.93, '2024-03-14'),
(263, 2, 'daily', 33, 82.78, '2024-03-15'),
(264, 2, 'daily', 33, 138.36, '2024-03-16'),
(265, 2, 'daily', 16, 134.97, '2024-03-17'),
(266, 2, 'daily', 30, 93.61, '2024-03-18'),
(267, 2, 'daily', 31, 136.47, '2024-03-19'),
(268, 2, 'daily', 22, 76.13, '2024-03-20'),
(269, 2, 'daily', 13, 110.0, '2024-03-21'),
(270, 2, 'daily', 39, 186.52, '2024-09-01'),
(271, 2, 'daily', 30, 196.37, '2024-09-02'),
(272, 2, 'daily', 11, 69.77, '2024-09-03'),
(273, 2, 'daily', 22, 107.06, '2024-09-04'),
(274, 2, 'daily', 44, 283.03, '2024-09-05'),
(275, 2, 'daily', 24, 32.07, '2024-09-06'),
(276, 2, 'daily', 46, 411.86, '2024-09-07'),
(277, 2, 'daily', 27, 127.13, '2024-09-08'),
(278, 2, 'daily', 21, 117.59, '2024-09-09'),
(279, 2, 'daily', 32, 200.74, '2024-09-10'),
(280, 2, 'daily', 29, 64.98, '2024-09-11'),
(281, 2, 'daily', 24, 162.29, '2024-09-12'),
(282, 2, 'daily', 49, 317.88, '2024-09-13'),
(283, 2, 'daily', 25, 42.07, '2024-09-14'),
(284, 2, 'daily', 16, 85.24, '2024-09-15'),
(285, 2, 'daily', 47, 291.66, '2024-09-16'),
(286, 2, 'daily', 42, 337.3, '2024-09-17'),
(287, 2, 'daily', 31, 121.31, '2024-09-18'),
(288, 2, 'daily', 26, 259.08, '2024-09-19'),
(289, 2, 'daily', 42, 391.03, '2024-09-20'),
(290, 2, 'daily', 27, 179.42, '2024-09-21'),
(291, 2, 'daily', 29, 130.39, '2023-03-01'),
(292, 2, 'daily', 28, 76.0, '2023-03-02'),
(293, 2, 'daily', 33, 173.36, '2023-03-03'),
(294, 2, 'daily', 39, 79.17, '2023-03-04'),
(295, 2, 'daily', 10, 97.27, '2023-03-05'),
(296, 2, 'daily', 22, 173.74, '2023-03-06'),
(297, 2, 'daily', 16, 126.47, '2023-03-07'),
(298, 2, 'daily', 37, 221.01, '2023-03-08'),
(299, 2, 'daily', 33, 215.63, '2023-03-09'),
(300, 2, 'daily', 13, 50.89, '2023-03-10'),
(301, 2, 'daily', 16, 156.28, '2023-03-11'),
(302, 2, 'daily', 47, 282.42, '2023-03-12'),
(303, 2, 'daily', 45, 63.17, '2023-03-13'),
(304, 2, 'daily', 44, 407.56, '2023-03-14'),
(305, 2, 'daily', 39, 47.92, '2023-03-15'),
(306, 2, 'daily', 12, 114.56, '2023-03-16'),
(307, 2, 'daily', 25, 209.54, '2023-03-17'),
(308, 2, 'daily', 16, 95.44, '2023-03-18'),
(309, 2, 'daily', 11, 92.72, '2023-03-19'),
(310, 2, 'daily', 25, 165.42, '2023-03-20'),
(311, 2, 'daily', 46, 93.14, '2023-03-21'),
(312, 2, 'daily', 17, 101.7, '2023-09-01'),
(313, 2, 'daily', 18, 129.34, '2023-09-02'),
(314, 2, 'daily', 24, 61.54, '2023-09-03'),
(315, 2, 'daily', 42, 386.75, '2023-09-04'),
(316, 2, 'daily', 28, 106.22, '2023-09-05'),
(317, 2, 'daily', 28, 85.09, '2023-09-06'),
(318, 2, 'daily', 11, 74.4, '2023-09-07'),
(319, 2, 'daily', 15, 131.65, '2023-09-08'),
(320, 2, 'daily', 23, 146.8, '2023-09-09'),
(321, 2, 'daily', 41, 230.69, '2023-09-10'),
(322, 2, 'daily', 45, 211.16, '2023-09-11'),
(323, 2, 'daily', 12, 50.8, '2023-09-12'),
(324, 2, 'daily', 41, 42.51, '2023-09-13'),
(325, 2, 'daily', 38, 56.72, '2023-09-14'),
(326, 2, 'daily', 22, 155.3, '2023-09-15'),
(327, 2, 'daily', 15, 33.67, '2023-09-16'),
(328, 2, 'daily', 20, 82.56, '2023-09-17'),
(329, 2, 'daily', 46, 377.47, '2023-09-18'),
(330, 2, 'daily', 50, 376.42, '2023-09-19'),
(331, 2, 'daily', 26, 63.24, '2023-09-20'),
(332, 2, 'daily', 29, 238.69, '2023-09-21'),
(333, 2, 'daily', 10, 99.16, '2022-03-01'),
(334, 2, 'daily', 23, 174.4, '2022-03-02'),
(335, 2, 'daily', 46, 204.25, '2022-03-03'),
(336, 2, 'daily', 36, 165.8, '2022-03-04'),
(337, 2, 'daily', 36, 272.36, '2022-03-05'),
(338, 2, 'daily', 34, 339.36, '2022-03-06'),
(339, 2, 'daily', 20, 65.31, '2022-03-07'),
(340, 2, 'daily', 28, 153.95, '2022-03-08'),
(341, 2, 'daily', 19, 40.29, '2022-03-09'),
(342, 2, 'daily', 39, 306.24, '2022-03-10'),
(343, 2, 'daily', 39, 195.87, '2022-03-11'),
(344, 2, 'daily', 24, 171.48, '2022-03-12'),
(345, 2, 'daily', 17, 117.99, '2022-03-13'),
(346, 2, 'daily', 11, 45.51, '2022-03-14'),
(347, 2, 'daily', 48, 121.44, '2022-03-15'),
(348, 2, 'daily', 20, 141.58, '2022-03-16'),
(349, 2, 'daily', 41, 243.48, '2022-03-17'),
(350, 2, 'daily', 24, 60.2, '2022-03-18'),
(351, 2, 'daily', 39, 208.42, '2022-03-19'),
(352, 2, 'daily', 31, 277.48, '2022-03-20'),
(353, 2, 'daily', 38, 319.23, '2022-03-21'),
(354, 2, 'daily', 13, 38.35, '2022-09-01'),
(355, 2, 'daily', 16, 27.49, '2022-09-02'),
(356, 2, 'daily', 13, 14.99, '2022-09-03'),
(357, 2, 'daily', 38, 307.61, '2022-09-04'),
(358, 2, 'daily', 50, 145.24, '2022-09-05'),
(359, 2, 'daily', 35, 109.14, '2022-09-06'),
(360, 2, 'daily', 36, 318.8, '2022-09-07'),
(361, 2, 'daily', 13, 102.42, '2022-09-08'),
(362, 2, 'daily', 18, 19.61, '2022-09-09'),
(363, 2, 'daily', 10, 11.95, '2022-09-10'),
(364, 2, 'daily', 21, 61.26, '2022-09-11'),
(365, 2, 'daily', 40, 381.99, '2022-09-12'),
(366, 2, 'daily', 49, 251.59, '2022-09-13'),
(367, 2, 'daily', 15, 56.19, '2022-09-14'),
(368, 2, 'daily', 11, 86.98, '2022-09-15'),
(369, 2, 'daily', 49, 431.04, '2022-09-16'),
(370, 2, 'daily', 41, 152.88, '2022-09-17'),
(371, 2, 'daily', 47, 126.07, '2022-09-18'),
(372, 2, 'daily', 12, 21.23, '2022-09-19'),
(373, 2, 'daily', 33, 60.27, '2022-09-20'),
(374, 2, 'daily', 15, 31.44, '2022-09-21'),
(375, 3, 'yearly', 6086, 158000.91, '2024-12-31'),
(376, 3, 'yearly', 8875, 364722.44, '2023-12-31'),
(377, 3, 'yearly', 9816, 763092.49, '2022-12-31'),
(378, 3, 'yearly', 9440, 723048.17, '2021-12-31'),
(379, 3, 'yearly', 5990, 256358.41, '2020-12-31'),
(380, 3, 'yearly', 8997, 318202.15, '2019-12-31'),
(381, 3, 'yearly', 8481, 590151.64, '2018-12-31'),
(382, 3, 'monthly', 707, 36931.81, '2024-01-01'),
(383, 3, 'monthly', 648, 18046.11, '2024-02-01'),
(384, 3, 'monthly', 628, 12510.42, '2024-03-01'),
(385, 3, 'monthly', 597, 39504.47, '2024-04-01'),
(386, 3, 'monthly', 522, 15887.79, '2024-05-01'),
(387, 3, 'monthly', 672, 46693.8, '2024-06-01'),
(388, 3, 'monthly', 589, 24260.48, '2024-07-01'),
(389, 3, 'monthly', 449, 34033.37, '2024-08-01'),
(390, 3, 'monthly', 537, 16798.3, '2024-09-01'),
(391, 3, 'monthly', 756, 14252.97, '2024-10-01'),
(392, 3, 'monthly', 569, 18119.86, '2024-11-01'),
(393, 3, 'monthly', 532, 8792.69, '2024-12-01'),
(394, 3, 'monthly', 621, 33483.81, '2023-01-01'),
(395, 3, 'monthly', 650, 28179.91, '2023-02-01'),
(396, 3, 'monthly', 572, 11538.49, '2023-03-01'),
(397, 3, 'monthly', 401, 15045.07, '2023-04-01'),
(398, 3, 'monthly', 520, 16165.69, '2023-05-01'),
(399, 3, 'monthly', 529, 27296.75, '2023-06-01'),
(400, 3, 'monthly', 559, 28938.39, '2023-07-01'),
(401, 3, 'monthly', 582, 11660.29, '2023-08-01'),
(402, 3, 'monthly', 458, 16938.05, '2023-09-01'),
(403, 3, 'monthly', 461, 12818.89, '2023-10-01'),
(404, 3, 'monthly', 491, 7847.36, '2023-11-01'),
(405, 3, 'monthly', 495, 37669.21, '2023-12-01'),
(406, 3, 'monthly', 549, 20355.28, '2022-01-01'),
(407, 3, 'monthly', 660, 19470.28, '2022-02-01'),
(408, 3, 'monthly', 468, 7862.06, '2022-03-01'),
(409, 3, 'monthly', 406, 20660.81, '2022-04-01'),
(410, 3, 'monthly', 433, 24834.47, '2022-05-01'),
(411, 3, 'monthly', 420, 12097.27, '2022-06-01'),
(412, 3, 'monthly', 417, 12878.14, '2022-07-01'),
(413, 3, 'monthly', 774, 16848.56, '2022-08-01'),
(414, 3, 'monthly', 794, 48037.88, '2022-09-01'),
(415, 3, 'monthly', 697, 29287.19, '2022-10-01'),
(416, 3, 'monthly', 581, 37236.87, '2022-11-01'),
(417, 3, 'monthly', 755, 14543.37, '2022-12-01'),
(418, 3, 'weekly', 120, 3632.83, '2024-03-01'),
(419, 3, 'weekly', 151, 4690.68, '2024-03-08'),
(420, 3, 'weekly', 205, 4007.85, '2024-03-15'),
(421, 3, 'weekly', 103, 2248.67, '2024-09-01'),
(422, 3, 'weekly', 127, 5455.39, '2024-09-08'),
(423, 3, 'weekly', 189, 4450.73, '2024-09-15'),
(424, 3, 'weekly', 174, 7309.98, '2023-03-01'),
(425, 3, 'weekly', 159, 2898.21, '2023-03-08'),
(426, 3, 'weekly', 168, 1659.64, '2023-03-15'),
(427, 3, 'weekly', 139, 3438.21, '2023-09-01'),
(428, 3, 'weekly', 187, 5266.24, '2023-09-08'),
(429, 3, 'weekly', 292, 14167.88, '2023-09-15'),
(430, 3, 'weekly', 149, 3389.15, '2022-03-01'),
(431, 3, 'weekly', 159, 6856.79, '2022-03-08'),
(432, 3, 'weekly', 172, 3940.03, '2022-03-15'),
(433, 3, 'weekly', 132, 4448.32, '2022-09-01'),
(434, 3, 'weekly', 227, 3126.35, '2022-09-08'),
(435, 3, 'weekly', 162, 5673.06, '2022-09-15'),
(436, 3, 'daily', 40, 249.39, '2024-03-01'),
(437, 3, 'daily', 20, 58.87, '2024-03-02'),
(438, 3, 'daily', 35, 179.2, '2024-03-03'),
(439, 3, 'daily', 30, 31.4, '2024-03-04'),
(440, 3, 'daily', 38, 99.63, '2024-03-05'),
(441, 3, 'daily', 30, 153.77, '2024-03-06'),
(442, 3, 'daily', 22, 61.83, '2024-03-07'),
(443, 3, 'daily', 33, 280.85, '2024-03-08'),
(444, 3, 'daily', 18, 46.86, '2024-03-09'),
(445, 3, 'daily', 20, 42.94, '2024-03-10'),
(446, 3, 'daily', 14, 119.84, '2024-03-11'),
(447, 3, 'daily', 36, 156.05, '2024-03-12'),
(448, 3, 'daily', 15, 33.84, '2024-03-13'),
(449, 3, 'daily', 27, 40.33, '2024-03-14'),
(450, 3, 'daily', 21, 152.38, '2024-03-15'),
(451, 3, 'daily', 35, 238.13, '2024-03-16'),
(452, 3, 'daily', 39, 71.09, '2024-03-17'),
(453, 3, 'daily', 14, 15.95, '2024-03-18'),
(454, 3, 'daily', 41, 182.06, '2024-03-19'),
(455, 3, 'daily', 17, 114.31, '2024-03-20'),
(456, 3, 'daily', 15, 104.37, '2024-03-21'),
(457, 3, 'daily', 31, 236.08, '2024-09-01'),
(458, 3, 'daily', 39, 241.84, '2024-09-02'),
(459, 3, 'daily', 12, 105.64, '2024-09-03'),
(460, 3, 'daily', 45, 149.8, '2024-09-04'),
(461, 3, 'daily', 24, 91.76, '2024-09-05'),
(462, 3, 'daily', 40, 306.47, '2024-09-06'),
(463, 3, 'daily', 36, 275.37, '2024-09-07'),
(464, 3, 'daily', 24, 219.45, '2024-09-08'),
(465, 3, 'daily', 14, 139.14, '2024-09-09'),
(466, 3, 'daily', 18, 66.9, '2024-09-10'),
